ONS,12/13,13/14,14/15,15/16,Region,LA,ONS
,107980.0,133930.0,-,-,England,64,
,4010.0,5660.0,-,-,East Midlands,E,
,12730.0,9030.0,-,-,East of England,G,
,18060.0,20720.0,-,-,London,H,
,3890.0,5370.0,-,-,North East,A,
,8830.0,9630.0,-,-,North West,B,
,18250.0,19980.0,-,-,South East,J,
,11310.0,13130.0,-,-,South West,K,
,6960.0,8460.0,-,-,West Midlands,F,
,7230.0,7740.0,-,-,Yorkshire and the Humber,D,
E09000002,460.0,610.0,-,-,Barking and Dagenham,00AB,E09000002
E09000003,1720.0,1330.0,-,-,Barnet,00AC,E09000003
E06000022,390.0,510.0,-,-,Bath and North East Somerset UA,00HA,E06000022
,190.0,80.0,-,-,Bedford UA,00KB,
,,,-,-,Bedfordshire (pre-2009),9,
E09000004,590.0,490.0,-,-,Bexley,00AD,E09000004
E06000008,220.0,210.0,-,-,Blackburn with Darwen UA,00EX,E06000008
E06000009,50.0,20.0,-,-,Blackpool UA,00EY,E06000009
E06000028,470.0,320.0,-,-,Bournemouth UA,00HN,E06000028
E06000036,470.0,310.0,-,-,Bracknell Forest UA,00MA,E06000036
E09000005,650.0,,-,-,Brent,00AE,E09000005
E06000043,100.0,370.0,-,-,Brighton and Hove UA,00ML,E06000043
E06000023,930.0,,-,-,"Bristol, City of UA",00HB,E06000023
E09000006,630.0,620.0,-,-,Bromley,00AF,E09000006
,1580.0,1690.0,-,-,Buckinghamshire,,
,1860.0,2570.0,-,-,Cambridgeshire,,
E09000007,350.0,1010.0,-,-,Camden,00AG,E09000007
E06000056,160.0,290.0,-,-,Central Bedfordshire UA,00KC,E06000056
,,,-,-,Cheshire (pre-2009),13,
E06000049,360.0,490.0,-,-,Cheshire East UA,00EQ,E06000049
E06000050,180.0,530.0,-,-,Cheshire West and Chester UA,00EW,E06000050
E09000001,10.0,0.0,-,-,City of London,00AA,E09000001
,,,-,-,Cornwall (pre-2009),15,
E06000052,940.0,1810.0,-,-,Cornwall UA,00HE,E06000052
,,,-,-,County Durham (pre-2009),20,
E09000008,650.0,1960.0,-,-,Croydon,00AH,E09000008
,850.0,1230.0,-,-,Cumbria,16,
E06000005,120.0,310.0,-,-,Darlington UA,00EH,E06000005
E06000015,,,-,-,Derby UA,00FK,E06000015
,1270.0,1410.0,-,-,Derbyshire,17,
,1770.0,3050.0,-,-,Devon,,
,920.0,820.0,-,-,Dorset,19,
E06000047,420.0,,-,-,Durham UA,00EJ,E06000047
E09000009,1050.0,650.0,-,-,Ealing,00AJ,E09000009
E06000011,,330.0,-,-,East Riding of Yorkshire UA,00FB,E06000011
,1040.0,970.0,-,-,East Sussex,,
E09000010,350.0,640.0,-,-,Enfield,00AK,E09000010
,2970.0,,-,-,Essex,22,
,1930.0,1810.0,-,-,Gloucestershire,23,
,4340.0,3650.0,-,-,Greater Manchester (Met County),2A,
E09000011,590.0,1220.0,-,-,Greenwich,00AL,E09000011
E09000012,1170.0,440.0,-,-,Hackney,00AM,E09000012
E06000006,,,-,-,Halton UA,00ET,E06000006
E09000013,110.0,730.0,-,-,Hammersmith and Fulham,00AN,E09000013
,3160.0,3630.0,-,-,Hampshire,,
E09000014,430.0,620.0,-,-,Haringey,00AP,E09000014
E09000015,400.0,420.0,-,-,Harrow,00AQ,E09000015
