ONS,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,Region,LA,ONS
,180.0,165.0,235.0,189.0,200.0,167.0,203.0,178.0,165.0,175.0,199.0,140.0,141.0,-,-,-,Dorset,19,
E06000047,220.0,260.0,300.0,326.0,328.0,279.0,355.0,316.0,348.0,313.0,222.0,211.0,266.0,-,-,-,Durham UA,00EJ,E06000047
E09000009,435.0,485.0,470.0,494.0,506.0,509.0,488.0,498.0,643.0,495.0,509.0,451.0,571.0,-,-,-,Ealing,00AJ,E09000009
E06000011,85.0,100.0,100.0,83.0,106.0,92.0,78.0,101.0,117.0,88.0,85.0,66.0,107.0,-,-,-,East Riding of Yorkshire UA,00FB,E06000011
,290.0,215.0,260.0,278.0,260.0,242.0,294.0,284.0,287.0,253.0,242.0,240.0,291.0,-,-,-,East Sussex,,
E09000010,480.0,460.0,480.0,479.0,573.0,582.0,551.0,574.0,536.0,580.0,567.0,568.0,629.0,-,-,-,Enfield,00AK,E09000010
,680.0,630.0,690.0,661.0,747.0,646.0,765.0,807.0,833.0,663.0,777.0,675.0,873.0,-,-,-,Essex,22,
,275.0,230.0,230.0,231.0,264.0,253.0,335.0,307.0,275.0,254.0,248.0,257.0,222.0,-,-,-,Gloucestershire,23,
,2355.0,1895.0,2215.0,2352.0,2459.0,2152.0,2644.0,2486.0,2736.0,2115.0,2390.0,2420.0,2674.0,-,-,-,Greater Manchester (Met County),2A,
E09000011,570.0,465.0,480.0,448.0,446.0,481.0,473.0,421.0,513.0,435.0,568.0,402.0,571.0,-,-,-,Greenwich,00AL,E09000011
E09000012,605.0,425.0,520.0,617.0,663.0,591.0,557.0,580.0,598.0,502.0,571.0,450.0,651.0,-,-,-,Hackney,00AM,E09000012
E06000006,95.0,95.0,85.0,118.0,142.0,135.0,168.0,202.0,176.0,114.0,155.0,135.0,166.0,-,-,-,Halton UA,00ET,E06000006
E09000013,290.0,250.0,320.0,284.0,353.0,288.0,288.0,287.0,289.0,198.0,271.0,241.0,169.0,-,-,-,Hammersmith and Fulham,00AN,E09000013
,605.0,525.0,490.0,516.0,505.0,566.0,703.0,713.0,713.0,527.0,599.0,542.0,610.0,-,-,-,Hampshire,,
E09000014,475.0,505.0,560.0,676.0,762.0,617.0,512.0,521.0,634.0,559.0,579.0,514.0,522.0,-,-,-,Haringey,00AP,E09000014
