,All households,Household is not deprived in any dimension,Household is deprived in 1 dimension,Household is deprived in 2 dimensions,Household is deprived in 3 dimensions,Household is deprived in 4 dimensions
E06000055,63812,29041,20595,11212,2671,293
E06000056,104399,52706,32753,15716,2955,269
E06000032,74293,26640,26416,16185,4538,514
E06000031,74023,29667,24589,15215,4115,437
E06000033,74678,29872,24948,14927,4381,550
E06000034,62353,24074,21335,13349,3283,312
E07000008,46714,22925,15072,6738,1791,188
E07000009,34614,17169,11066,5345,972,62
E07000010,40620,14722,14027,9539,2163,169
E07000011,69333,34924,21965,10324,1945,175
E07000012,59960,33545,17691,7443,1196,85
E07000066,72746,29142,24488,15049,3721,346
E07000067,61043,28148,19753,10713,2253,176
E07000068,30646,15079,9945,4611,932,79
E07000069,36440,14050,12821,7949,1496,124
E07000070,69667,34995,21956,10422,2081,213
E07000071,71634,33832,23065,11654,2807,276
E07000072,51991,23280,17479,9126,1924,182
E07000073,34620,13064,12288,7278,1785,205
E07000074,25817,11811,8611,4408,894,93
E07000075,33564,14897,11434,6166,990,77
E07000076,62105,20133,21951,16026,3647,348
E07000077,31316,16774,9554,4213,727,48
E07000095,37658,15313,13027,7455,1661,202
E07000096,59938,29725,18762,9260,1974,217
E07000097,56577,30255,17245,7518,1421,138
E07000098,39778,18571,13079,6619,1392,117
E07000099,53426,27418,16458,7856,1555,139
E07000100,56140,32358,15898,6481,1270,133
E07000101,34898,15319,11536,6469,1415,159
E07000102,35108,17847,10935,5141,1081,104
E07000103,36681,16757,12191,6019,1510,204
E07000104,43613,20323,14728,7026,1415,121
E07000143,54519,21907,19344,10881,2210,177
E07000144,53336,25372,17819,8804,1267,74
E07000145,42079,13835,14546,10486,2887,325
E07000146,62977,24222,21856,13689,2955,255
E07000147,46046,18030,16676,9469,1731,140
E07000148,60319,25405,18986,11994,3650,284
E07000149,52809,25167,17304,8808,1422,108
E07000200,37522,17823,12438,6177,1020,64
E07000201,25376,10274,9549,4597,868,88
E07000202,57298,22634,19063,11892,3396,313
E07000203,40306,19649,13011,6548,1042,56
E07000204,45802,21450,15260,7477,1490,125
E07000205,53558,25123,18136,8612,1580,107
E07000206,50883,19318,17508,11283,2504,270
E09000007,97534,36975,34569,17469,7085,1436
E09000001,4385,1973,1772,499,122,19
E09000012,101690,31994,36314,22514,9308,1560
E09000013,80590,33427,27335,13749,5240,839
E09000014,101955,36356,34280,21949,7968,1402
E09000019,93556,34289,31880,18351,7762,1274
E09000020,78536,34278,27161,11908,4366,823
E09000022,130017,51814,44100,24158,8654,1291
E09000023,116091,44523,39640,22963,7871,1094
E09000025,101519,25356,38692,26412,9748,1311
E09000028,120422,43590,42428,24121,8961,1322
E09000030,101257,33144,36199,20987,9432,1495
E09000032,130493,65759,39677,18174,6064,819
E09000033,105772,41507,36506,18341,7790,1628
E09000002,69681,19618,24953,18382,6027,701
E09000003,135916,58764,45413,24122,6669,948
E09000004,92604,38457,31937,17839,4048,323
E09000005,110286,34085,40538,25540,8741,1382
E09000006,130862,63450,41818,20141,4931,522
E09000008,145010,59399,50369,26731,7457,1054
E09000009,124082,46377,42757,25522,8212,1214
E09000010,119916,43308,41080,26163,8172,1193
E09000011,101045,37600,34480,20809,7239,917
E09000015,84268,35196,28917,15813,3892,450
E09000016,97199,38567,33711,20248,4272,401
E09000017,100214,40143,34824,19622,5029,596
E09000018,94902,35413,33763,19203,5774,749
E09000021,63639,32175,20186,8892,2140,246
E09000024,78757,36641,25594,12685,3457,380
E09000026,99105,38422,34616,20000,5455,612
E09000027,79835,46005,22322,8994,2237,277
E09000029,78174,35636,26211,12776,3195,356
E09000031,96861,33217,33920,21764,7027,933
E06000036,45878,24325,13911,6254,1244,144
E06000043,121540,52226,39931,21628,6704,1051
E06000046,61085,23935,21358,12460,2992,340
E06000035,106209,44119,35652,20314,5550,574
E06000042,98584,46086,31678,16220,4169,431
E06000044,85473,35779,28114,16105,4894,581
E06000038,62869,28876,20443,10326,2883,341
E06000039,50766,17733,18437,11077,3156,363
E06000045,98254,39116,32798,19691,5871,778
E06000037,62340,33452,18842,8218,1667,161
E06000040,58349,31762,17645,7446,1364,132
E06000041,60332,35852,17126,6267,998,89
E07000004,69406,36538,21176,9621,1876,195
E07000005,36946,20986,10888,4260,737,75
E07000006,26514,14261,8219,3454,538,42
E07000007,67861,35109,21166,9527,1856,203
E07000061,45012,17651,15568,9124,2345,324
