la_code,la_name,population,area
E07000091,New Forest,  176462,     75313.5
E07000107,Dartford,   97365,      7276.85
E07000108,Dover,  111674,     31485.1
E07000229,Worthing,  104640,      3248.21
E06000022,Bath and North East Somerset,  176016,     34574.1
E07000109,Gravesham,  101720,      9901.87
E07000110,Maidstone,  155143,     39333.3
E07000111,Sevenoaks,  114893,     36919.9
E07000112,Shepway,  107969,     35670.3
E07000113,Swale,  135835,     37338.6
S12000042,Dundee City,  147268,      5978.00
S12000044,North Lanarkshire,  337727,     46991.0
E07000114,Thanet,  134186,     10333.5
E07000115,Tonbridge and Malling,  120805,     24013.6
E07000116,Tunbridge Wells,  115049,     33132.8
E07000177,Cherwell,  141868,     58876.9
E07000178,Oxford,  151906,      4559.58
E07000179,South Oxfordshire,  134257,     67853.4
E07000180,Vale of White Horse,  120988,     57761.8
E07000181,West Oxfordshire,  104779,     71439.9
E07000207,Elmbridge,  130875,      9506.07
E07000208,Epsom and Ewell,   75102,      3407.29
E07000209,Guildford,  137183,     27093.3
E07000210,Mole Valley,   85375,     25832.3
E07000211,Reigate and Banstead,  137835,     12913.4
E07000212,Runnymede,   80510,      7804.32
E07000213,Spelthorne,   95598,      4488.44
E07000214,Surrey Heath,   86144,      9509.28
E06000028,Bournemouth,  183491,      4617.88
E06000023,"Bristol, City of",  428234,     10960.8
E06000052,Cornwall,  532273,    354619
E06000053,Isles of Scilly,    2203,      1637.47
E07000215,Tandridge,   82998,     24819.0
E07000216,Waverley,  121572,     34516.9
E06000024,North Somerset,  202566,     37378.6
E06000026,Plymouth,  256384,      7983.36
E07000217,Woking,   99198,      6359.57
E07000223,Adur,   61182,      4180.71
E07000224,Arun,  149518,     22070.8
E07000225,Chichester,  113794,     78623.1
E07000226,Crawley,  106597,      4497.07
E07000227,Horsham,  131301,     53027.1
E07000228,Mid Sussex,  139860,     33402.4
E06000029,Poole,  147645,      6475.33
E06000025,South Gloucestershire,  262767,     49694.6
E06000030,Swindon,  209156,     23010.4
E06000027,Torbay,  130959,      6287.40
E06000054,Wiltshire,  470981,    325534
E07000040,East Devon,  132457,     81434.7
E07000041,Exeter,  117773,      4702.77
E07000042,Mid Devon,   77750,     91293.5
E07000043,North Devon,   93667,    108605
E07000044,South Hams,   83140,     88649.8
E07000045,Teignbridge,  124220,     67387.0
E07000046,Torridge,   63839,     98385.3
E07000047,West Devon,   53553,    115964
E07000078,Cheltenham,  115732,      4661.37
E07000079,Cotswold,   82881,    116452
E07000080,Forest of Dean,   81961,     52650.6
E07000048,Christchurch,   47752,      5038.96
E07000049,East Dorset,   87166,     35436.6
E07000050,North Dorset,   68583,     60921.8
E07000051,Purbeck,   44973,     40441.6
E07000052,West Dorset,   99264,    108147
E07000053,Weymouth and Portland,   65167,      4175.88
E07000081,Gloucester,  121688,      4053.68
E07000082,Stroud,  112779,     46065.5
E07000083,Tewkesbury,   81943,     41441.8
E07000187,Mendip,  109279,     73943.5
E07000188,Sedgemoor,  114588,     56436.3
E07000189,South Somerset,  161243,     95904.2
E07000190,Taunton Deane,  110187,     46236.3
E07000191,West Somerset,   34675,     72534.5
W06000001,Isle of Anglesey,   69751,     71124.1
W06000002,Gwynedd,  121874,    253494
W06000013,Bridgend,  139178,     25074.7
W06000014,The Vale of Glamorgan,  126336,     33095.3
W06000015,Cardiff,  346090,     14038.2
W06000016,Rhondda Cynon Taf,  234410,     42413.0
W06000024,Merthyr Tydfil,   58802,     11139.3
W06000018,Caerphilly,  178806,     27745.0
W06000019,Blaenau Gwent,   69814,     10876.2
W06000020,Torfaen,   91075,     12564.1
W06000021,Monmouthshire,   91323,     84914.9
W06000022,Newport,  145736,     19051.6
S12000005,Clackmannanshire,   51442,     15864.0
S12000006,Dumfries & Galloway,  151324,    642620
S12000008,East Ayrshire,  122767,    126212
S12000010,East Lothian,   99717,     67918.0
S12000011,East Renfrewshire,   90574,     17379.0
S12000013,Eilean Siar,   27684,    305950
S12000014,Falkirk,  155990,     29736.0
S12000015,Fife,  365198,    132486
S12000017,Highland,  232132,   2568389
S12000018,Inverclyde,   81485,     16044.0
S12000019,Midlothian,   83187,     35369.0
S12000020,Moray,   93295,    223756
S12000021,North Ayrshire,  138146,     88534.0
S12000023,Orkney Islands,   21349,     98980.0
S12000024,Perth & Kinross,  146652,    528558
S12000036,"Edinburgh, City of",  476626,     26333.0
S12000038,Renfrewshire,  174908,     26194.0
S12000039,West Dunbartonshire,   90720,     15876.0
S12000040,West Lothian,  175118,     42749.0
S12000041,Angus,  115978,    218179
S12000045,East Dunbartonshire,  105026,     17449.0
S12000046,Glasgow City,  593245,     17468.0
N92000002,Northern Ireland, 1814297,   1415310
