ONS,12/13,13/14,14/15,15/16,Region,LA,ONS
,22060.0,21770.0,,-,England,64,
,510.0,420.0,,-,East Midlands,E,
,1760.0,1450.0,,-,East of England,G,
,6190.0,5400.0,,-,London,H,
,560.0,470.0,,-,North East,A,
,630.0,1070.0,,-,North West,B,
,3090.0,1600.0,,-,South East,J,
,2380.0,2860.0,,-,South West,K,
,1.0,620.0,1420.0,-,West Midlands,F,
,530.0,440.0,,-,Yorkshire and the Humber,D,
E09000002,210.0,60.0,,-,Barking and Dagenham,00AB,E09000002
E09000003,520.0,370.0,,-,Barnet,00AC,E09000003
E06000022,150.0,110.0,,-,Bath and North East Somerset UA,00HA,E06000022
,30.0,40.0,,-,Bedford UA,00KB,
,,,,-,Bedfordshire (pre-2009),9,
E09000004,190.0,90.0,,-,Bexley,00AD,E09000004
E06000008,90.0,30.0,,-,Blackburn with Darwen UA,00EX,E06000008
E06000009,20.0,0.0,,-,Blackpool UA,00EY,E06000009
E06000028,110.0,300.0,,-,Bournemouth UA,00HN,E06000028
E06000036,20.0,60.0,,-,Bracknell Forest UA,00MA,E06000036
E09000005,340.0,,,-,Brent,00AE,E09000005
E06000043,10.0,100.0,,-,Brighton and Hove UA,00ML,E06000043
E06000023,240.0,100.0,,-,"Bristol, City of UA",00HB,E06000023
E09000006,,,,-,Bromley,00AF,E09000006
,500.0,340.0,,-,Buckinghamshire,,
,270.0,550.0,,-,Cambridgeshire,,
E09000007,240.0,110.0,,-,Camden,00AG,E09000007
E06000056,0.0,0.0,,-,Central Bedfordshire UA,00KC,E06000056
,,,,-,Cheshire (pre-2009),13,
E06000049,30.0,10.0,,-,Cheshire East UA,00EQ,E06000049
E06000050,10.0,0.0,,-,Cheshire West and Chester UA,00EW,E06000050
E09000001,0.0,0.0,,-,City of London,00AA,E09000001
,,,,-,Cornwall (pre-2009),15,
E06000052,,80.0,,-,Cornwall UA,00HE,E06000052
,,,,-,County Durham (pre-2009),20,
E09000008,180.0,140.0,,-,Croydon,00AH,E09000008
,180.0,120.0,,-,Cumbria,16,
E06000005,0.0,20.0,,-,Darlington UA,00EH,E06000005
E06000015,,,,-,Derby UA,00FK,E06000015
,200.0,110.0,,-,Derbyshire,17,
,280.0,550.0,,-,Devon,,
,100.0,210.0,,-,Dorset,19,
E06000047,70.0,,,-,Durham UA,00EJ,E06000047
E09000009,360.0,440.0,,-,Ealing,00AJ,E09000009
E06000011,,0.0,,-,East Riding of Yorkshire UA,00FB,E06000011
,180.0,,,-,East Sussex,,
E09000010,250.0,130.0,,-,Enfield,00AK,E09000010
,,,,-,Essex,22,
,460.0,,,-,Gloucestershire,23,
,,550.0,,-,Greater Manchester (Met County),2A,
E09000011,50.0,410.0,,-,Greenwich,00AL,E09000011
E09000012,380.0,190.0,,-,Hackney,00AM,E09000012
E06000006,,,,-,Halton UA,00ET,E06000006
E09000013,40.0,30.0,,-,Hammersmith and Fulham,00AN,E09000013
,590.0,,,-,Hampshire,,
E09000014,180.0,170.0,,-,Haringey,00AP,E09000014
E09000015,120.0,0.0,,-,Harrow,00AQ,E09000015
E06000001,20.0,20.0,,-,Hartlepool UA,00EB,E06000001
E09000016,260.0,230.0,,-,Havering,00AR,E09000016
E06000019,20.0,,,-,"Herefordshire, County of UA",00GA,E06000019
,520.0,430.0,,-,Hertfordshire,26,
E09000017,170.0,30.0,,-,Hillingdon,00AS,E09000017
E09000018,100.0,250.0,,-,Hounslow,00AT,E09000018
E06000046,80.0,130.0,,-,Isle of Wight UA,00MW,E06000046
E07000025,0.0,0.0,,-,Isles of Scilly UA,00HF,E07000025
E09000019,340.0,60.0,,-,Islington,00AU,E09000019
E09000020,0.0,0.0,,-,Kensington and Chelsea,00AW,E09000020
,,,,-,Kent,,
E06000010,10.0,0.0,,-,"Kingston upon Hull, City of UA",00FA,E06000010
E09000021,30.0,20.0,,-,Kingston upon Thames,00AX,E09000021
E09000022,170.0,340.0,,-,Lambeth,00AY,E09000022
,140.0,330.0,,-,Lancashire,,
E06000016,50.0,50.0,,-,Leicester UA,00FN,E06000016
,,,,-,Leicestershire,,
E09000023,430.0,200.0,,-,Lewisham,00AZ,E09000023
,160.0,170.0,,-,Lincolnshire,32,
E06000032,180.0,,,-,Luton UA,00KA,E06000032
E06000035,90.0,120.0,,-,Medway UA,00LC,E06000035
,160.0,,,-,Merseyside (Met County),2B,
E09000024,320.0,120.0,,-,Merton,00BA,E09000024
E06000002,70.0,30.0,,-,Middlesbrough UA,00EC,E06000002
E06000042,370.0,220.0,,-,Milton Keynes UA,00MG,E06000042
E09000025,140.0,780.0,,-,Newham,00BB,E09000025
,310.0,250.0,,-,Norfolk,33,
E06000012,,80.0,,-,North East Lincolnshire UA,00FC,E06000012
E06000013,20.0,70.0,,-,North Lincolnshire UA,00FD,E06000013
E06000024,30.0,70.0,,-,North Somerset UA,00HC,E06000024
,100.0,140.0,,-,North Yorkshire,36,
,,,,-,Northamptonshire,34,
,,,,-,Northumberland (pre-2009),35,
E06000057,50.0,100.0,,-,Northumberland UA,00EM,E06000057
E06000018,100.0,20.0,,-,Nottingham UA,00FY,E06000018
,,70.0,,-,Nottinghamshire,,
,380.0,,,-,Oxfordshire,38,
E06000031,220.0,130.0,,-,Peterborough UA,00JA,E06000031
E06000026,40.0,60.0,,-,Plymouth UA,00HG,E06000026
E06000029,0.0,0.0,,-,Poole UA,00HP,E06000029
E06000044,60.0,,,-,Portsmouth UA,00MR,E06000044
E06000038,120.0,10.0,,-,Reading UA,00MC,E06000038
E09000026,0.0,0.0,,-,Redbridge,00BC,E09000026
E06000003,80.0,40.0,,-,Redcar and Cleveland UA,00EE,E06000003
E09000027,,,,-,Richmond upon Thames,00BD,E09000027
E06000017,,,,-,Rutland UA,00FP,E06000017
,,,,-,Shropshire (pre-2009),39,
E06000051,,,,-,Shropshire UA,00GG,E06000051
E06000039,60.0,30.0,,-,Slough UA,00MD,E06000039
,460.0,,,-,Somerset,40,
E06000025,410.0,500.0,,-,South Gloucestershire UA,00HD,E06000025
,60.0,120.0,,-,South Yorkshire (Met County),2C,
E06000045,20.0,130.0,,-,Southampton UA,00MS,E06000045
E06000033,0.0,10.0,,-,Southend-on-Sea UA,00KF,E06000033
E09000028,200.0,320.0,,-,Southwark,00BE,E09000028
,210.0,200.0,,-,Staffordshire,,
E06000004,50.0,30.0,,-,Stockton-on-Tees UA,00EF,E06000004
E06000021,10.0,30.0,,-,Stoke-on-Trent UA,00GL,E06000021
,190.0,,,-,Suffolk,42,
,550.0,300.0,,-,Surrey,43,
E09000029,,80.0,,-,Sutton,00BF,E09000029
E06000030,60.0,130.0,,-,Swindon UA,00HX,E06000030
E06000020,110.0,160.0,,-,Telford and Wrekin UA,00GF,E06000020
E06000034,40.0,40.0,,-,Thurrock UA,00KG,E06000034
E06000027,30.0,100.0,,-,Torbay UA,00HH,E06000027
E09000030,390.0,360.0,,-,Tower Hamlets,00BG,E09000030
,220.0,230.0,,-,Tyne and Wear (Met County),2D,
