"date","geography","geography code","Rural Urban","Ethnic Group: All usual residents; measures: Value","Ethnic Group: White; measures: Value","Ethnic Group: White: English/Welsh/Scottish/Northern Irish/British; measures: Value","Ethnic Group: White: Irish; measures: Value","Ethnic Group: White: Gypsy or Irish Traveller; measures: Value","Ethnic Group: White: Other White; measures: Value","Ethnic Group: Mixed/multiple ethnic groups; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Black Caribbean; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Black African; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Asian; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: Other Mixed; measures: Value","Ethnic Group: Asian/Asian British; measures: Value","Ethnic Group: Asian/Asian British: Indian; measures: Value","Ethnic Group: Asian/Asian British: Pakistani; measures: Value","Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value","Ethnic Group: Asian/Asian British: Chinese; measures: Value","Ethnic Group: Asian/Asian British: Other Asian; measures: Value","Ethnic Group: Black/African/Caribbean/Black British; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value","Ethnic Group: Other ethnic group; measures: Value","Ethnic Group: Other ethnic group: Arab; measures: Value","Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value"
"2011","Brighton and Hove","E06000043","Total",273369,243512,220018,3772,198,19524,10408,2182,2019,3351,2856,11278,2996,649,1367,2999,3267,4188,2893,879,416,3983,2184,1799
"2011","Isle of Wight","E06000046","Total",138265,134545,131099,747,94,2605,1709,507,123,738,341,1514,435,80,131,219,649,303,141,115,47,194,52,142
"2011","Medway","E06000035","Total",263925,236579,225654,1946,510,8469,5176,1730,735,1546,1165,13615,7132,1516,1304,1065,2598,6663,4742,1428,493,1892,517,1375
"2011","Milton Keynes","E06000042","Total",248821,199094,183934,2498,72,12590,8235,2243,1597,2228,2167,22782,8106,3851,1989,2722,6114,17131,13058,2524,1549,1579,565,1014
"2011","Portsmouth","E06000044","Total",205056,181182,172313,1071,85,7713,5467,1103,935,2381,1048,12474,2911,539,3649,2611,2764,3777,2958,540,279,2156,1078,1078
"2011","Reading","E06000038","Total",155698,116387,101725,2269,90,12303,6180,2718,802,1428,1232,21161,6514,6967,695,1603,5382,10470,6087,3279,1104,1500,680,820
"2011","Slough","E06000039","Total",140205,64053,48401,1607,220,13825,4758,1667,607,1429,1055,55697,21922,24869,549,797,7560,12115,7548,3096,1471,3582,928,2654
"2011","Southampton","E06000045","Total",236882,203528,183980,1746,341,17461,5678,1678,941,1796,1263,19892,6742,3019,1401,3449,5281,5067,3508,1132,427,2717,1312,1405
"2011","West Berkshire","E06000037","Total",153822,145854,139044,1284,164,5362,2420,776,262,831,551,3808,1675,473,225,659,776,1376,701,514,161,364,139,225
"2011","Windsor and Maidenhead","E06000040","Total",144560,124505,112081,2055,219,10150,3315,679,358,1399,879,13848,5860,4238,393,1071,2286,1725,1039,473,213,1167,379,788
"2011","Wokingham","E06000041","Total",154380,136525,129119,1367,291,5748,3182,890,337,1273,682,11438,5331,2865,222,1203,1817,2093,1203,712,178,1142,500,642
"2011","Aylesbury Vale","E07000004","Total",174137,156079,148360,1573,134,6012,3864,1518,461,1077,808,10105,1872,5408,201,636,1988,3323,1676,1302,345,766,339,427
"2011","Chiltern","E07000005","Total",92635,84749,79579,1118,121,3931,2040,380,190,998,472,5046,1799,1772,120,442,913,524,258,213,53,276,58,218
"2011","South Bucks","E07000006","Total",66867,56365,51541,1133,256,3435,1607,416,119,720,352,7533,4758,965,171,527,1112,709,354,278,77,653,174,479
"2011","Wycombe","E07000007","Total",171644,139477,130313,1553,103,7508,4849,2259,328,1330,932,20585,2939,13091,597,949,3009,5934,1744,3382,808,799,282,517
"2011","Eastbourne","E07000061","Total",99412,93508,86903,978,66,5561,1791,434,302,572,483,2795,671,107,287,621,1109,783,517,159,107,535,229,306
"2011","Hastings","E07000062","Total",90254,84631,80624,702,150,3155,1948,595,277,585,491,2126,487,78,276,366,919,1065,639,303,123,484,161,323
"2011","Lewes","E07000063","Total",97502,94159,90218,757,97,3087,1275,325,155,460,335,1400,360,64,153,316,507,416,248,123,45,252,97,155
"2011","Rother","E07000064","Total",90588,87951,85279,596,134,1942,1031,267,107,405,252,1103,276,16,109,217,485,305,181,76,48,198,72,126
"2011","Wealden","E07000065","Total",148915,145173,139745,933,368,4127,1428,326,182,562,358,1719,459,52,217,411,580,343,215,110,18,252,79,173
"2011","Basingstoke and Deane","E07000084","Total",167799,155888,148078,1324,163,6323,2813,1047,318,863,585,6715,2437,389,330,1221,2338,1909,1259,470,180,474,138,336
"2011","East Hampshire","E07000085","Total",115608,111635,107568,656,267,3144,1305,312,153,513,327,1859,481,31,165,316,866,517,396,81,40,292,141,151
"2011","Eastleigh","E07000086","Total",125199,118537,114873,602,191,2871,1740,391,254,652,443,3740,1954,160,294,625,707,605,430,129,46,577,201,376
