ONS_CENSUS_2011,Local.Authority,LA.type,LA_POPULATION,LA_AREA_HEC,CLA_16_17,CLA_18_24,CLA_16_24,CLA_16_17 + CLA_18_24,Modifed_Total,unemployed_age_16_and_over,unemployment_age_16_to_24,unemployment_age_25_to_34,never_worked_age_16_and_over,never_worked_age_16_to_24,never_worked_age_25_to_34,IMD SCORE,RANK OF IMD SCORE (where 1 is most deprived)
E07000094,Winchester,District,116595,66097.46,15.33040361,31.20828756,,46.53869116,46.53869116,37317,6912,1832,5293,3610,225,4.27,30780
E07000095,Broxbourne,NA,93609,5143.56,,,,,,28369,4329,2169,4688,2985,378,4.04,30997
E07000096,Dacorum,District,144847,21247.56,0,,,,,42062,6021,3134,6201,3843,549,7.61,27054
E07000097,East Hertfordshire,NA,137687,47568.68,,,,,,37495,5699,2077,5869,4172,275,#N/A,#N/A
E07000098,Hertsmere,NA,100031,10116,,,,,,29908,5343,2313,5683,3493,476,4.25,30799
E07000099,North Hertfordshire,District,127114,37537.51,21,96,,117,117,36981,4802,2353,5090,3230,346,8.76,25635
E07000100,St Albans,District,140664,16117.63,,,,,,38772,5586,2449,6148,3903,473,#N/A,#N/A
E07000101,Stevenage,NA,83957,2596.4,,,,,,23932,3945,2314,3868,2491,397,#N/A,#N/A
E07000102,Three Rivers,District,87317,8881.34,,,,,,25486,3846,1592,4113,2619,242,5.16,29879
E07000103,Watford,District,90301,2142.48,,,,,,23858,4206,2640,5100,2810,709,14.12,19101
E07000104,Welwyn Hatfield,NA,110535,12955.42,,,,,,37011,10245,3266,7392,5382,786,#N/A,#N/A
E07000105,Ashford,NA,117956,58061.67,,,,,,35455,4830,2447,5176,3095,397,23.89,11347
E07000106,Canterbury,NA,151145,30885.19,,,,,,59892,16935,3679,11427,7986,747,25.53,10380
E07000107,Dartford,District,97365,7276.85,,,,,,27524,4366,2294,4518,2806,345,20.84,13362
E07000108,Dover,District,111674,31485.09,37,210,,247,247,40666,5174,2640,6312,3556,519,23.2,11788
E07000109,Gravesham,NA,101720,9901.87,,,,,,33096,5383,2782,6426,3751,624,43.6,3552
E07000110,Maidstone,District,155143,39333.34,,,,,,46965,6439,3155,6821,4191,473,4.18,30881
E07000111,Sevenoaks,District,114893,36919.86,,,,,,35982,4563,1854,4905,3330,229,8.21,26333
E07000112,Shepway,NA,107969,35670.31,,,,,,40121,4920,2624,6059,3186,560,25.2,10555
E07000113,Swale,District,135835,37338.55,31,72,,103,103,45421,6810,3689,8034,4734,690,21.49,12884
E07000114,Thanet,District,134186,10333.53,12,117,,129,129,52967,7164,3688,8378,4691,787,31.91,7378
E07000115,Tonbridge and Malling,District,120805,24013.56,3,36,,39,39,35495,5072,2018,5236,3584,287,25.09,10626
E07000116,Tunbridge Wells,District,115049,33132.82,30,273,,303,303,33853,4994,2134,5188,3420,356,14.15,19063
E07000117,Burnley,NA,87059,11070.03,,,,,,31611,4866,2922,6437,3257,794,67.1,359
E07000118,Chorley,District,107155,20279.69,11,14,,25,25,33642,4190,2216,4651,2640,449,18.43,15240
E07000119,Fylde,District,75757,16568.86,2,31,,33,33,28961,2694,1354,3084,1637,246,4.84,30216
E07000120,Hyndburn,District,80734,7299.32,5,7,,12,12,27954,4481,2528,5755,3007,758,33.19,6852
E07000121,Lancaster,NA,138375,57585.64,,,,,,52208,13351,2992,9428,6487,605,14.16,19051
E07000122,Pendle,District,89452,16936.37,,,,,,31630,4657,3233,7016,3208,1097,10.08,23917
E07000123,Preston,District,140202,14229.4,16,29,,45,45,48960,11936,4840,11160,6201,1347,13.63,19651
E07000124,Ribble Valley,District,57132,58316.11,7,57,,64,64,17612,1945,598,2157,1364,124,11.33,22323
E07000125,Rossendale,NA,67982,13804.82,,,,,,21875,3420,1652,3878,2413,336,7.65,27016
E07000126,South Ribble,NA,109057,11295.57,,,,,,33127,4141,1586,4095,2623,211,30.49,7980
E07000127,West Lancashire,District,110685,34678.96,,,17,,17,38667,6578,2036,5896,3673,358,8.1,26483
E07000128,Wyre,District,107749,28255.43,,,,,,41572,4358,1715,4859,2764,298,19.66,14241
E07000129,Blaby,District,93915,13046.66,13.79033449,78,,91.79033449,91.79033449,27824,3989,1324,3661,2580,228,18.95,14802
E07000130,Charnwood,District,166100,27905.68,10.24090463,0,,10.24090463,10.24090463,57880,16167,3634,10835,7739,834,17.65,15904
E07000131,Harborough,District,85382,59177.75,20.2642319,119,,139.2642319,139.2642319,24621,3045,1081,3207,2192,169,10.22,23746
E07000132,Hinckley and Bosworth,District,105078,29734.91,35.47858987,225,,260.4785899,260.4785899,32410,3891,1739,4020,2668,284,5.46,29580
E07000133,Melton,NA,50376,48137.68,,,,,,14857,1787,715,1881,1185,97,9.03,25300
E07000134,North West Leicestershire,District,93468,27932.85,5.762774677,0,218,5.762774677,218,29269,3842,1733,4026,2524,271,8.33,26180
E07000135,Oadby and Wigston,District,56170,2352.33,6.463164437,26,,32.46316444,32.46316444,19809,4289,1136,3697,2509,228,7.2,27556
E07000136,Boston,District,64637,36153.77,26,23,,49,49,22297,2729,1520,3380,1735,260,35.65,5987
E07000137,East Lindsey,District,136401,176025.58,43,254,,297,297,58507,5647,2663,7257,3563,489,26.56,9857
E07000138,Lincoln,District,93541,3568.8,,353,,,,33414,9207,2999,6207,3716,558,29.51,8403
E07000139,North Kesteven,NA,107766,92244.28,,,,,,35992,3781,1569,4418,2633,213,11.95,21578
E07000140,South Holland,NA,88270,74238.31,,,,,,31553,3197,1594,3788,2092,190,13.57,19729
E07000141,South Kesteven,NA,133788,94259.45,,,,,,42114,4901,2210,5598,3350,318,15.77,17549
E07000142,West Lindsey,District,89250,115571.73,1,25,,26,26,31430,3792,1561,4549,2585,290,16.6,16820
E07000143,Breckland,District,130491,130511.64,,,25,,25,45713,5023,2856,5732,3103,451,15.46,17826
E07000144,Broadland,District,124646,55239.88,5,31,,36,36,41646,3794,1674,4422,2431,248,5.44,29612
E07000145,Great Yarmouth,NA,97277,17418.83,,,,,,38203,5018,2733,5273,2809,495,9.19,25099
E07000146,King's Lynn and West Norfolk,District,147451,142879.4,24,344,,368,368,54869,5701,3047,6931,3659,492,14.68,18549
E07000147,North Norfolk,NA,101499,96333.07,,,,,,43179,3385,1758,4095,1971,263,21.03,13232
E07000148,Norwich,NA,132512,3902.6,,,,,,48057,12296,5325,8785,5479,1099,35.79,5951
E07000149,South Norfolk,District,124012,90770.68,5,17,,22,22,40919,4156,1816,4512,2772,258,17.14,16335
E07000150,Corby,District,61255,8028.28,,191,,,,17858,2784,1698,2600,1611,245,35.65,5990
E07000151,Daventry,District,77843,66259.01,,,,,,23242,3064,1454,3073,1971,249,18.22,15393
E07000152,East Northamptonshire,District,86765,50978.8,6,24,,30,30,25925,3609,1561,3740,2575,190,10.1,23887
E07000153,Kettering,District,93475,23349.24,,30,,,,27645,3649,2034,3951,2342,311,16.2,17181
E07000154,Northampton,District,212069,8076.17,,,174,,174,61889,11656,6165,11340,6580,1320,20.88,13337
E07000155,South Northamptonshire,District,85189,63401.85,4,109,,113,113,22579,2597,899,2656,1743,90,6.63,28266
E07000156,Wellingborough,District,75356,16303.94,8,55,,63,63,23844,3287,1938,3703,2114,365,11.27,22403
E07000163,Craven,District,55409,117738.81,15,58,185.9437593,73,185.9437593,18245,1742,609,1962,1155,71,7.93,26688
E07000164,Hambleton,District,89140,131116.95,0,6,299.139611,6,299.139611,28325,2845,1114,3396,1923,154,11.77,21814
E07000165,Harrogate,District,157869,130793.68,69,253,529.7831642,322,529.7831642,46948,5101,2096,6004,3417,320,7.42,27289
E07000166,Richmondshire,NA,51965,131867.12,,,,,,14683,1716,990,1808,926,120,13.66,19613
E07000167,Ryedale,NA,51751,150659.41,,,,,,17382,1827,612,2151,1206,70,13.43,19872
E07000168,Scarborough,District,108793,81654.13,10,300,365.0919419,310,365.0919419,42655,4995,2163,5183,2658,373,48.55,2469
E07000169,Selby,District,83449,59931.19,,,457.0415235,,457.0415235,24640,3081,1282,3152,2002,156,9.56,24600
E07000170,Ashfield,District,119497,10955.69,,,,,,41214,5607,3094,6289,3711,573,17.43,16076
E07000171,Bassetlaw,NA,112863,63787.08,,,,,,39610,5158,2663,6536,3388,597,11.35,22285
E07000172,Broxtowe,District,109487,8009.84,0,62,,62,62,37571,5573,2696,5630,3590,573,10.43,23474
E07000173,Gedling,District,113543,11997.63,6,64,,70,70,37257,4937,2231,5178,3280,391,20.98,13257
E07000174,Mansfield,District,104466,7671.65,,,,,,36887,5049,2824,6124,3323,580,9.35,24892
E07000175,Newark and Sherwood,NA,114817,65131.85,,,,,,39058,4954,2365,5740,3250,457,10.68,23120
E07000176,Rushcliffe,District,111129,40923.64,,222,,,,34886,5462,1542,4719,3116,288,3.37,31559
E07000177,Cherwell,NA,141868,58876.86,,,,,,38173,5320,3196,5578,3315,523,11.66,21943
E07000178,Oxford,District,151906,4559.58,51,,,,,56480,23857,8076,15301,10824,2032,41.57,4096
E07000179,South Oxfordshire,NA,134257,67853.37,,,,,,37518,4413,1989,4842,2926,264,9.2,25085
E07000180,Vale of White Horse,NA,120988,57761.77,,,,,,34221,4405,1967,4510,2904,254,14.8,18431
E07000181,West Oxfordshire,NA,104779,71439.93,,,,,,28236,3212,1450,3447,2049,193,10.2,23769
E07000187,Mendip,District,109279,73943.51,39.33657605,0.995862685,,40.33243874,40.33243874,34610,4757,1689,5171,3289,250,10.8,22961
E07000188,Sedgemoor,NA,114588,56436.28,,,,,,38966,4711,2217,5246,3026,372,12.14,21381
E07000189,South Somerset,NA,161243,95904.23,,,,,,53201,5498,2464,6091,3526,378,13.74,19552
E07000190,Taunton Deane,District,110187,46236.29,39.66342395,1.004137315,,40.66756126,40.66756126,35490,4643,1902,4879,2774,315,10.41,23496
E07000191,West Somerset,NA,34675,72534.51,,,,,,14287,1116,492,1390,667,75,25.07,10637
E07000192,Cannock Chase,District,97462,7888.09,,,95,,95,31428,4652,2385,5040,3126,405,22.1,12488
E07000193,East Staffordshire,District,113583,38696.29,35,284,,319,319,36635,5126,2959,6459,3386,752,12.61,20834
E07000194,Lichfield,District,100654,33129.71,1,13,,14,14,33718,4425,1711,4591,2957,271,6.73,28150
E07000195,Newcastle-under-Lyme,NA,123871,21095.75,,,,,,45171,9043,2705,7350,5005,523,12.92,20497
E07000196,South Staffordshire,NA,108131,40731.52,,,,,,36832,4890,1616,5263,3391,274,9.77,24331
E07000197,Stafford,District,130869,59817.26,1,7,,8,8,43740,6614,2631,6258,3850,538,23.85,11363
E07000198,Staffordshire Moorlands,District,97106,57584.71,1,23,,24,24,33164,3538,1403,4071,2441,229,8.11,26463
E07000199,Tamworth,District,76813,3084.62,23,48,,71,71,23075,3500,1868,3593,2283,271,23.04,11870
E07000200,Babergh,District,87740,59377.66,,,,,,29189,3101,1314,3495,2062,148,12.66,20775
E07000201,Forest Heath,NA,59748,37771.06,,,,,,16950,2155,1768,2264,1190,260,14.42,18791
E07000202,Ipswich,NA,133384,3941.46,,,,,,41640,6972,4303,7142,4170,796,20.07,13946
E07000203,Mid Suffolk,District,96731,87107.11,,,,,,29965,2994,1374,3447,2074,179,9.76,24348
E07000204,St Edmundsbury,NA,111008,65696.41,,,,,,33844,4159,2221,4347,2561,331,18.41,15245
E07000205,Suffolk Coastal,District,124298,89156.43,1,7,,8,8,43519,4250,1761,4786,2892,223,8.83,25542
E07000206,Waveney,District,115254,36968.26,0,18,,18,18,45808,5000,2626,5531,3008,414,19.76,14155
E07000207,Elmbridge,District,130875,9506.07,0,0,,0,0,37726,5099,2004,5740,3693,269,2.82,31941
E07000208,Epsom and Ewell,District,75102,3407.29,,29,,,,22098,3562,1229,3635,2323,219,2.93,31863
E07000209,Guildford,District,137183,27093.26,1,6,,7,7,42089,9471,3266,7377,4949,731,5.8,29208
E07000210,Mole Valley,District,85375,25832.26,0,6,,6,6,26795,3091,1114,3478,2237,174,7.56,27114
E07000211,Reigate and Banstead,NA,137835,12913.41,,,,,,39009,5223,2688,6086,3521,470,6.96,27870
E07000212,Runnymede,District,80510,7804.32,1,,,,,25668,6235,1571,4849,3430,304,22.1,12481
E07000213,Spelthorne,NA,95598,4488.44,,,,,,27605,3473,1922,3877,2284,344,5.19,29853
