Area code 2,Area name,,,,Usual residents in households ,,Households with at least one usual resident,1 person in household,2 people in household,3 people in household,4 people in household,5 or more people in household
E10000027,,Somerset,,,517124,,226989,67537,86569,32602,27550,12731
E07000187,,,Mendip,,106031,,46157,13809,17069,6711,5835,2733
E07000188,,,Sedgemoor,,113056,,48801,13844,18714,7221,6107,2915
E07000189,,,South Somerset,,157903,,69501,20491,26957,9912,8346,3795
E07000190,,,Taunton Deane,,106852,,46907,14181,17397,6934,5858,2537
E07000191,,,West Somerset,,33282,,15623,5212,6432,1824,1404,751
W06000001,,,Isle of Anglesey,,68941,,30594,9888,10941,4380,3541,1844
W06000002,,,Gwynedd,,117974,,52473,18548,17299,6990,5954,3682
W06000003,,,Conwy,,112531,,51177,17297,18668,6881,5529,2802
W06000004,,,Denbighshire,,92483,,40546,12714,14668,5783,4890,2491
W06000005,,,Flintshire,,151679,,63781,17477,23014,10427,8845,4018
W06000006,,,Wrexham,,133244,,57029,16817,19782,9421,7708,3301
W06000023,,,Powys,,131047,,58345,18359,22160,7770,6562,3494
W06000008,,,Ceredigion,,71444,,31562,10456,11257,4267,3413,2169
W06000009,,,Pembrokeshire,,120545,,53122,16392,19972,7352,6153,3253
W06000010,,,Carmarthenshire,,181227,,78829,23770,28636,12131,9558,4734
W06000011,,,Swansea,,234363,,103497,34485,34757,15533,12524,6198
W06000012,,,Neath Port Talbot,,138682,,60393,18259,20910,10326,7835,3063
W06000013,,,Bridgend ,,136842,,58515,16472,20919,10151,7791,3182
W06000014,,,The Vale of Glamorgan,,124259,,53505,15851,18868,8654,6988,3144
W06000015,,,Cardiff,,334551,,142557,47141,45206,21363,17882,10965
W06000016,,,Rhondda Cynon Taf,,231885,,99663,29875,33674,17205,13365,5544
W06000024,,,Merthyr Tydfil,,58334,,24264,6559,8321,4454,3441,1489
W06000018,,,Caerphilly,,177755,,74479,20196,26235,13195,10278,4575
W06000019,,,Blaenau Gwent,,69239,,30416,9608,10185,5364,3716,1543
W06000020,,,Torfaen,,90360,,38524,11163,13408,6547,5156,2250
W06000021,,,Monmouthshire,,89694,,38233,10592,14388,5862,5084,2307
W06000022,,,Newport,,144103,,61172,18849,20359,9596,8065,4303
S12000033,,,Aberdeen City,,214243,,103371,39219,35942,14620,9787,3803
S12000034,,,Aberdeenshire,,250471,,104714,27728,38132,17034,15496,6324
S12000041,,,Angus,,114445,,51616,16587,18888,7550,6228,2363
S12000035,,,Argyll & Bute,,85694,,40125,14273,14619,5210,4141,1882
S12000005,,,Clackmannanshire,,50439,,22734,7313,8149,3631,2585,1056
S12000006,,,Dumfries & Galloway,,149341,,67980,22124,25469,9557,7585,3245
S12000042,,,Dundee City,,142101,,69193,27955,22424,9779,6309,2726
S12000008,,,East Ayrshire,,121306,,53919,17125,18736,8895,6643,2520
S12000045,,,East Dunbartonshire,,104431,,43473,12333,14287,7254,6963,2636
S12000010,,,East Lothian,,97819,,42905,13139,15190,6739,5742,2095
S12000011,,,East Renfrewshire,,89988,,37225,11239,11485,5869,5979,2653
S12000036,,,"Edinburgh, City of",,462334,,223051,87176,74692,30484,21888,8811
S12000013,,,Eilean Siar14,,27318,,12576,4679,4051,1841,1280,725
S12000014,,,Falkirk,,154192,,68732,21788,24102,11193,8561,3088
S12000015,,,Fife,,357440,,160952,51239,58921,24700,18600,7492
S12000046 ,,,Glasgow City,,578251,,285693,123236,86701,39174,24253,12329
S12000017,,,Highland,,228364,,102091,32378,37460,15135,11740,5378
S12000018,,,Inverclyde,,80261,,37434,14394,11297,5775,4322,1646
S12000019,,,Midlothian,,82257,,34978,9593,12697,6018,4752,1918
S12000020,,,Moray,,91203,,40062,12053,14894,5937,5033,2145
S12000021,,,North Ayrshire,,136609,,62498,21610,21513,9446,6976,2953
S12000044,,,North Lanarkshire,,335317,,145998,46842,46659,25225,19317,7955
S12000023,,,Orkney Islands,,21151,,9725,3351,3522,1297,1076,479
S12000024,,,Perth & Kinross,,142139,,64777,20875,24439,9239,7283,2941
S12000038,,,Renfrewshire,,172717,,80902,31226,24691,12156,9439,3390
S12000026,,,Scottish Borders,,112589,,52498,18043,19547,6963,5745,2200
S12000027,,,Shetland Islands,,22981,,9950,3189,3430,1387,1238,706
S12000028,,,South Ayrshire,,111270,,51286,17380,18513,7486,5720,2187
S12000029,,,South Lanarkshire,,310501,,139188,46648,46026,22556,17483,6475
S12000030,,,Stirling,,85874,,37566,11505,13294,5850,4926,1991
S12000039,,,West Dunbartonshire,,90028,,42167,16163,12947,6552,4704,1801
S12000040,,,West Lothian,,173312,,73398,20911,24941,12939,10535,4072
