"Country","ONS_CENSUS_2011","ONS_2014","Local.Authority","LA.type","LA_POPULATION","LA_AREA_HEC","COUNTY_NAME","COUNTY_POPULATION","LA_POPULATION_OVER_COUNTY_POPULATION","LA_16_17","LA_16_24","LA_18_24","SUM_COUNTY_16_17","SUM_COUNTY_16_24","SUM_COUNTY_18_24"
"England",NA,NA,"Cumbria","County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E07000096","E07000096","Dacorum","District",144847,21247.56,"Hertfordshire",590243,0.24540231735065,"0",NA,NA,21,0,96
"England","E07000107","E07000107","Dartford","District",97365,7276.85,"Kent",984950,0.0988527336413016,NA,NA,NA,113,0,708
"England","E07000151","E07000151","Daventry","District",77843,66259.01,"Northamptonshire",691952,0.112497687700881,NA,NA,NA,18,174,409
"England","E07000035","E07000035","Derbyshire Dales","District",71116,79245.21,"Derbyshire",396398,0.179405546950287,"0",NA,"44",5,1576,183
"England","E07000108","E07000108","Dover","District",111674,31485.09,"Kent",984950,0.113380374638307,"37",NA,"210",113,0,708
"England","E09000009","E09000009","Ealing","Unitary",338449,5552.5,NA,NA,NA,"11",NA,"340",NA,NA,NA
"England","E07000137","E07000137","East Lindsey","District",136401,176025.58,"Lincolnshire",383829,0.355369187841461,"43",NA,"254",70,0,655
"England","E07000152","E07000152","East Northamptonshire","District",86765,50978.8,"Northamptonshire",691952,0.125391645663283,"6",NA,"24",18,174,409
"England","E06000011","E06000011","East Riding of Yorkshire","Unitary",334179,240767.65,NA,NA,NA,"2",NA,"77",NA,NA,NA
"England","E07000193","E07000193","East Staffordshire","District",113583,38696.29,"Staffordshire",616487,0.184242327899858,"35",NA,"284",61,95,375
"England",NA,NA,"East Sussex","County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E07000061","E07000061","Eastbourne","District",99412,4415.89,"East Sussex",526671,0.188755408974483,"36",NA,NA,66,0,363
"England","E07000086","E07000086","Eastleigh","District",125199,7977.76,"Hampshire",1119558,0.11182895392646,NA,NA,NA,27,73,324
"England","E07000030","E07000030","Eden","District",52564,214235.65,"Cumbria",429255,0.122454019172753,"1",NA,"8",3,25,210
"England","E07000207","E07000207","Elmbridge","District",130875,9506.07,"Surrey",898957,0.145585383950512,"0",NA,"0",2,0,215
"England","E09000010","E09000010","Enfield","Unitary",312466,8082.94,NA,NA,NA,NA,NA,"206",NA,NA,NA
"England","E07000208","E07000208","Epsom and Ewell","District",75102,3407.29,"Surrey",898957,0.0835434842823405,NA,NA,"29",2,0,215
"England","E07000036","E07000036","Erewash","District",112081,10962.93,"Derbyshire",396398,0.282748651607728,NA,"1576",NA,5,1576,183
"England","E07000041","E07000041","Exeter","District",117773,4702.77,"Devon",328832,0.358155532308291,NA,NA,NA,95,0,449
"England","E07000087","E07000087","Fareham","District",111581,7423.27,"Hampshire",1119558,0.099665225026305,"17",NA,"221",27,73,324
"England","E07000010","E07000010","Fenland","District",95262,54644.96,"Cambridgeshire",537392,0.177267246255992,NA,NA,NA,48,0,360
"England","E07000080","E07000080","Forest of Dean","District",81961,52650.63,"Gloucestershire",515041,0.159134903823191,"17",NA,"331",17,288,385
"England","E07000119","E07000119","Fylde","District",75757,16568.86,"Lancashire",768866,0.0985308233164166,"2",NA,"31",41,17,138
"England","E07000173","E07000173","Gedling","District",113543,11997.63,"Nottinghamshire",558122,0.203437599664589,"6",NA,"64",6,0,348
"England","E07000081","E07000081","Gloucester","District",121688,4053.68,"Gloucestershire",515041,0.236268568910048,NA,"288",NA,17,288,385
"England",NA,NA,"Gloucestershire","County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E07000209","E07000209","Guildford","District",137183,27093.26,"Surrey",898957,0.152602404786881,"1",NA,"6",2,0,215
"England","E06000006","E06000006","Halton","Unitary",125746,7909.52,NA,NA,NA,NA,"18",NA,NA,NA,NA
"England","E07000164","E07000164","Hambleton","District",89140,131116.95,"North Yorkshire",494660,0.180204584967452,"0",NA,"6",94,177,617
"England",NA,NA,"Hammersmith & Fulham","Unitary",NA,NA,NA,NA,NA,"64",NA,"265",NA,NA,NA
"England",NA,NA,"Hampshire","County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E07000131","E07000131","Harborough","District",85382,59177.75,"Leicestershire",600113,0.142276537918692,"15",NA,"119",55,218,448
"England","E09000014","E09000014","Haringey","Unitary",254926,2958.85,NA,NA,NA,"18",NA,"338",NA,NA,NA
"England","E07000073","E07000073","Harlow","District",81944,3053.75,"Essex",802658,0.102090803306016,"3",NA,"63",82,248,655
"England","E07000165","E07000165","Harrogate","District",157869,130793.68,"North Yorkshire",494660,0.319146484453968,"69",NA,"253",94,177,617
"England","E07000089","E07000089","Hart","District",91033,21526.53,"Hampshire",1119558,0.081311553309431,"7",NA,"60",27,73,324
"England","E07000062","E07000062","Hastings","District",90254,2972.4,"East Sussex",526671,0.171366944449191,NA,NA,"80",66,0,363
"England","E07000090","E07000090","Havant","District",120684,5536.97,"Hampshire",1119558,0.107796112394356,NA,NA,NA,27,73,324
"England","E09000016","E09000016","Havering","Unitary",237232,11236.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England",NA,NA,"Hertfordshire","County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E07000037","E07000037","High Peak","District",90892,53914.69,"Derbyshire",396398,0.229294799671038,NA,NA,NA,5,1576,183
"England","E09000017","E09000017","Hillingdon","Unitary",273936,11569.87,NA,NA,NA,"3",NA,"277",NA,NA,NA
"England","E07000132","E07000132","Hinckley and Bosworth","District",105078,29734.91,"Leicestershire",600113,0.175097023393927,"29",NA,"225",55,218,448
"England","E07000011","E07000011","Huntingdonshire","District",169508,90618.31,"Cambridgeshire",537392,0.315427099770745,"32",NA,"252",48,0,360
"England","E07000120","E07000120","Hyndburn","District",80734,7299.32,"Lancashire",768866,0.10500399289343,"5",NA,"7",41,17,138
"England","E06000046","E06000046","Isle of Wight","District",138265,38016.1,"Isle of Wight",138265,1,"12",NA,"527",12,0,527
"England",NA,NA,"Kensington & Chelsea","Unitary",NA,NA,NA,NA,NA,"1",NA,"242",NA,NA,NA
"England",NA,NA,"Kent","County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E07000153","E07000153","Kettering","District",93475,23349.24,"Northamptonshire",691952,0.135088850093648,NA,NA,"30",18,174,409
"England",NA,NA,"Kingston","Unitary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E08000011","E08000011","Knowsley","Unitary",145893,8646.93,NA,NA,NA,"22",NA,"57",NA,NA,NA
"England","E09000022","E09000022","Lambeth","Unitary",303086,2682.14,NA,NA,NA,"58",NA,"642",NA,NA,NA
"England","E08000035","E08000035","Leeds","Unitary",751485,55172.44,NA,NA,NA,"302",NA,"2037",NA,NA,NA
"England","E06000016","E06000016","Leicester","Unitary",329839,7331.48,NA,NA,NA,"25",NA,"348",NA,NA,NA
"England",NA,NA,"Leicestershire","County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E07000063","E07000063","Lewes","District",97502,29207.1,"East Sussex",526671,0.185128856534725,"30",NA,"22",66,0,363
"England","E07000194","E07000194","Lichfield","District",100654,33129.71,"Staffordshire",616487,0.163270271717003,"1",NA,"13",61,95,375
"England",NA,NA,"Liverpool City","Unitary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E07000110","E07000110","Maidstone","District",155143,39333.34,"Kent",984950,0.157513579369511,NA,NA,NA,113,0,708
"England","E07000174","E07000174","Mansfield","District",104466,7671.65,"Nottinghamshire",558122,0.187174130387263,NA,NA,NA,6,0,348
"England","E07000187","E07000187","Mendip","District",109279,73943.51,"Somerset",219466,0.497931342440287,NA,NA,NA,0,0,0
"England","E07000203","E07000203","Mid Suffolk","District",96731,87107.11,"Suffolk",424023,0.22812677614186,NA,NA,NA,1,0,25
"England","E07000228","E07000228","Mid Sussex","District",139860,33402.39,"West Sussex",509769,0.274359562860825,"16",NA,"30",16,0,33
"England","E06000042","E06000042","Milton Keynes","Unitary",248821,30862.53,NA,NA,NA,NA,NA,"10037",NA,NA,NA
"England","E07000210","E07000210","Mole Valley","District",85375,25832.26,"Surrey",898957,0.0949711721472773,"0",NA,"6",2,0,215
"England","E07000091","E07000091","New Forest","District",176462,75313.48,"Hampshire",1119558,0.157617559786987,NA,"73",NA,27,73,324
"England","E07000043","E07000043","North Devon","District",93667,108605.1,"Devon",328832,0.284847581743869,"34",NA,"307",95,0,449
"England","E07000050","E07000050","North Dorset","District",68583,60921.76,"Dorset",277987,0.246712975786638,"15",NA,"147",25,0,220
"England","E06000012","E06000012","North East Lincolnshire","Unitary",159616,19184.49,NA,NA,NA,"1",NA,"104",NA,NA,NA
"England",NA,NA,"North Hamptonshire","County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E07000099","E07000099","North Hertfordshire","District",127114,37537.51,"Hertfordshire",590243,0.21535875901959,"21",NA,"96",21,0,96
"England","E07000218","E07000218","North Warwickshire","District",62014,28426.69,"Warwickshire",199662,0.310594905390109,NA,"16",NA,0,54,0
"England","E07000134","E07000134","North West Leicestershire","District",93468,27932.85,"Leicestershire",600113,0.155750666957723,NA,"218",NA,55,218,448
"England",NA,NA,"North Yorkshire","County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E07000154","E07000154","Northampton","District",212069,8076.17,"Northamptonshire",691952,0.306479351168867,NA,"174",NA,18,174,409
"England","E07000135","E07000135","Oadby and Wigston","District",56170,2352.33,"Leicestershire",600113,0.0935990388476837,"3",NA,"26",55,218,448
"England","E08000004","E08000004","Oldham","Unitary",224897,14236.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E07000178","E07000178","Oxford","District",151906,4559.58,"Oxfordshire",151906,1,NA,NA,NA,0,0,0
"England",NA,NA,"Oxfordshire","County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England",NA,NA,"Oxfordshire","County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E07000122","E07000122","Pendle","District",89452,16936.37,"Lancashire",768866,0.116342769741411,NA,NA,NA,41,17,138
"England","E06000031","E06000031","Peterborough","Unitary",183631,34337.82,NA,NA,NA,"13",NA,"279",NA,NA,NA
"England","E06000031","E06000031","Peterborough","Unitary",183631,34337.82,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E06000029","E06000029","Poole","Unitary",147645,6475.33,NA,NA,NA,"61",NA,"509",NA,NA,NA
"England","E07000123","E07000123","Preston","District",140202,14229.4,"Lancashire",768866,0.18234906992896,"16",NA,"29",41,17,138
"England","E07000051","E07000051","Purbeck","District",44973,40441.57,"Dorset",277987,0.161780946591028,"10",NA,"73",25,0,220
"England","E06000038","E06000038","Reading","Unitary",155698,4039.86,NA,NA,NA,"64",NA,"525",NA,NA,NA
"England","E07000236","E07000236","Redditch","District",84214,5424.98,"Worcestershire",392770,0.214410469231357,"9",NA,"43",72,0,43
"England","E07000124","E07000124","Ribble Valley","District",57132,58316.11,"Lancashire",768866,0.0743068363017743,"7",NA,"57",41,17,138
"England",NA,NA,"Richmond","Unitary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England","E07000064","E07000064","Rother","District",90588,50943.05,"East Sussex",526671,0.17200111644651,NA,NA,"30",66,0,363
