ONS_CENSUS_2011,Local.Authority,LA.type,LA_POPULATION,LA_AREA_HEC,COUNTY_POPULATION,LA_POPULATION_OVER_COUNTY_POPULATION,CLA_16_17,CLA_16_24,CLA_18_24,,,
E07000037,High Peak,District,90892,53914.69,396398,0.2292948,,,,,,
E07000038,North East Derbyshire,NA,99023,27560.03,NA,NA,,,,,,
E07000039,South Derbyshire,NA,94611,33812.06,NA,NA,,,,,,
E07000040,East Devon,NA,132457,81434.66,NA,NA,,,,,,
E07000041,Exeter,District,117773,4702.77,328832,0.358155532,,,,,,
E07000042,Mid Devon,NA,77750,91293.48,NA,NA,,,,,,
E07000043,North Devon,District,93667,108605.1,328832,0.284847582,34,,307,,,
E07000044,South Hams,NA,83140,88649.78,NA,NA,,,,,,
E07000045,Teignbridge,NA,124220,67387,NA,NA,,,,,,
E07000046,Torridge,District,63839,98385.32,328832,0.194138648,60,,133,,,
E07000047,West Devon,District,53553,115963.56,328832,0.162858238,1,,9,,,
E07000078,Cheltenham,District,115732,4661.37,515041,0.224704441,32.58214395,,,,,
E07000079,Cotswold,District,82881,116451.96,515041,0.160921169,23.33356956,,38,,,
E07000080,Forest of Dean,District,81961,52650.63,515041,0.159134904,40.07456105,,331,,,
E07000048,Christchurch,NA,47752,5038.96,NA,NA,,,,,,
E07000049,East Dorset,NA,87166,35436.57,NA,NA,,,,,,
E07000050,North Dorset,District,68583,60921.76,277987,0.246712976,15,,147,,,
E07000051,Purbeck,District,44973,40441.57,277987,0.161780947,10,,73,,,
E07000052,West Dorset,District,99264,108147.42,277987,0.357081446,,,,,,
E07000053,Weymouth and Portland,District,65167,4175.88,277987,0.234424631,,,,,,
E07000061,Eastbourne,District,99412,4415.89,526671,0.188755409,71.86352771,,,,,
E07000066,Basildon,District,174497,11002.46,802658,0.217398942,,,,,,
E07000067,Braintree,District,147084,61170.84,802658,0.183246165,25,,95,,,
E07000068,Brentwood,NA,73601,15311.75,NA,NA,,,,,,
E07000081,Gloucester,District,121688,4053.68,515041,0.236268569,34.25894249,288,,,,
E07000082,Stroud,District,112779,46065.47,515041,0.218970917,31.75078295,,16,,,
E07000083,Tewkesbury,NA,81943,41441.83,NA,NA,,,,,,
E07000084,Basingstoke and Deane,District,167799,63380.74,1119558,0.149879685,19.18459964,,0.299759369,,,
E07000069,Castle Point,District,88011,4506.86,802658,0.10964944,6,,46,,,
E07000070,Chelmsford,NA,168310,33877.56,NA,NA,,,,,,
E07000071,Colchester,District,173074,32908.17,802658,0.215626082,,248,,,,
E07000072,Epping Forest,NA,124659,33898.56,NA,NA,,,,,,
E07000085,East Hampshire,NA,115608,51444.15,NA,NA,,,,,,
