ONS_CENSUS_2011,Local.Authority,LA.type,LA_POPULATION,LA_AREA_HEC,COUNTY_POPULATION,LA_POPULATION_OVER_COUNTY_POPULATION,CLA_16_17,CLA_16_24,CLA_18_24,,,
S12000038,Renfrewshire,NA,174908,26194,NA,NA,,,,,,
S12000039,West Dunbartonshire,NA,90720,15876,NA,NA,,,,,,
S12000040,West Lothian,NA,175118,42749,NA,NA,,,,,,
S12000041,Angus,NA,115978,218179,NA,NA,,,,,,
S12000045,East Dunbartonshire,NA,105026,17449,NA,NA,,,,,,
S12000046,Glasgow City,NA,593245,17468,NA,NA,,,,,,
W06000001,Isle of Anglesey,NA,69751,71124.11,NA,NA,,,,,,
W06000002,Gwynedd,NA,121874,253493.94,NA,NA,,,,,,
W06000003,Conwy,NA,115228,112582.88,NA,NA,,,,,,
W06000004,Denbighshire,NA,93734,83674.27,NA,NA,,,,,,
W06000005,Flintshire,NA,152506,43753.91,NA,NA,,,,,,
W06000006,Wrexham,NA,134844,50377.45,NA,NA,,,,,,
W06000008,Ceredigion,NA,75922,178545.43,NA,NA,,,,,,
W06000013,Bridgend,NA,139178,25074.74,NA,NA,,,,,,
W06000014,Vale of Glamorgan,NA,126336,33095.28,NA,NA,,,,,,
W06000015,Cardiff,NA,346090,14038.2,NA,NA,,,,,,
W06000016,Rhondda Cynon Taf,NA,234410,42412.97,NA,NA,,,,,,
W06000019,Blaenau Gwent,NA,69814,10876.16,NA,NA,,,,,,
W06000020,Torfaen,NA,91075,12564.08,NA,NA,,,,,,
W06000021,Monmouthshire,NA,91323,84914.94,NA,NA,,,,,,
W06000022,Newport,NA,145736,19051.6,NA,NA,,,,,,
W06000023,Powys,NA,132976,518037.01,NA,NA,,,,,,
W06000024,Merthyr Tydfil,NA,58802,11139.29,NA,NA,,,,,,
N92000002,Northern Ireland,NA,1814297,1415309.8,NA,NA,,,,,,
