la_code,la_name,population,area,lad14cd
"E07000047","West Devon","   53553","    115963.56","E07000047"
"E07000078","Cheltenham","  115732","      4661.37","E07000078"
"E07000079","Cotswold","   82881","    116451.96","E07000079"
"E07000080","Forest of Dean","   81961","     52650.63","E07000080"
"E07000048","Christchurch","   47752","      5038.96","E07000048"
"E07000049","East Dorset","   87166","     35436.57","E07000049"
"E07000050","North Dorset","   68583","     60921.76","E07000050"
"E07000051","Purbeck","   44973","     40441.57","E07000051"
"E07000052","West Dorset","   99264","    108147.42","E07000052"
"E07000053","Weymouth and Portland","   65167","      4175.88","E07000053"
"E07000061","Eastbourne","   99412","      4415.89","E07000061"
"E07000066","Basildon","  174497","     11002.46","E07000066"
"E07000067","Braintree","  147084","     61170.84","E07000067"
"E07000068","Brentwood","   73601","     15311.75","E07000068"
"E07000081","Gloucester","  121688","      4053.68","E07000081"
"E07000082","Stroud","  112779","     46065.47","E07000082"
"E07000083","Tewkesbury","   81943","     41441.83","E07000083"
"E07000084","Basingstoke and Deane","  167799","     63380.74","E07000084"
"E07000069","Castle Point","   88011","      4506.86","E07000069"
"E07000070","Chelmsford","  168310","     33877.56","E07000070"
"E07000071","Colchester","  173074","     32908.17","E07000071"
"E07000072","Epping Forest","  124659","     33898.56","E07000072"
"E07000085","East Hampshire","  115608","     51444.15","E07000085"
"E07000086","Eastleigh","  125199","      7977.76","E07000086"
"E07000087","Fareham","  111581","      7423.27","E07000087"
"E07000088","Gosport","   82622","      2532.09","E07000088"
"E07000092","Rushmoor","   93807","      3904.46","E07000092"
"E07000093","Test Valley","  116398","     62757.99","E07000093"
"E07000094","Winchester","  116595","     66097.46","E07000094"
"E07000089","Hart","   91033","     21526.53","E07000089"
"E07000090","Havant","  120684","      5536.97","E07000090"
"E07000091","New Forest","  176462","     75313.48","E07000091"
"E07000096","Dacorum","  144847","     21247.56","E07000096"
"E07000098","Hertsmere","  100031","     10116.00","E07000098"
"E07000099","North Hertfordshire","  127114","     37537.51","E07000099"
"E07000120","Hyndburn","   80734","      7299.32","E07000120"
"E07000121","Lancaster","  138375","     57585.64","E07000121"
"E07000102","Three Rivers","   87317","      8881.34","E07000102"
"E07000103","Watford","   90301","      2142.48","E07000103"
"E07000105","Ashford","  117956","     58061.67","E07000105"
"E07000106","Canterbury","  151145","     30885.19","E07000106"
"E07000107","Dartford","   97365","      7276.85","E07000107"
"E07000108","Dover","  111674","     31485.09","E07000108"
"E07000226","Crawley","  106597","      4497.07","E07000226"
"E07000227","Horsham","  131301","     53027.07","E07000227"
"E07000228","Mid Sussex","  139860","     33402.39","E07000228"
"E07000109","Gravesham","  101720","      9901.87","E07000109"
"E07000110","Maidstone","  155143","     39333.34","E07000110"
"E07000111","Sevenoaks","  114893","     36919.86","E07000111"
"E07000112","Shepway","  107969","     35670.31","E07000112"
"E07000113","Swale","  135835","     37338.55","E07000113"
"E07000229","Worthing","  104640","      3248.21","E07000229"
"E07000234","Bromsgrove","   93637","     21696.91","E07000234"
"E07000235","Malvern Hills","   74631","     57707.13","E07000235"
"E07000114","Thanet","  134186","     10333.53","E07000114"
"E07000115","Tonbridge and Malling","  120805","     24013.56","E07000115"
"E07000116","Tunbridge Wells","  115049","     33132.82","E07000116"
"E07000135","Oadby and Wigston","   56170","      2352.33","E07000135"
"E07000117","Burnley","   87059","     11070.03","E07000117"
"E07000118","Chorley","  107155","     20279.69","E07000118"
"E07000136","Boston","   64637","     36153.77","E07000136"
"E07000137","East Lindsey","  136401","    176025.58","E07000137"
"E07000138","Lincoln","   93541","      3568.80","E07000138"
"E07000139","North Kesteven","  107766","     92244.28","E07000139"
"E07000140","South Holland","   88270","     74238.31","E07000140"
"E07000141","South Kesteven","  133788","     94259.45","E07000141"
"E07000142","West Lindsey","   89250","    115571.73","E07000142"
"E07000143","Breckland","  130491","    130511.64","E07000143"
"E07000144","Broadland","  124646","     55239.88","E07000144"
"E07000145","Great Yarmouth","   97277","     17418.83","E07000145"
"E07000146","King's Lynn and West Norfolk","  147451","    142879.40","E07000146"
"E07000147","North Norfolk","  101499","     96333.07","E07000147"
"E07000119","Fylde","   75757","     16568.86","E07000119"
"E07000122","Pendle","   89452","     16936.37","E07000122"
"E07000101","Stevenage","   83957","      2596.40","E07000243"
"E08000001","Bolton","  276786","     13980.34","E08000001"
"E07000123","Preston","  140202","     14229.40","E07000123"
"E07000124","Ribble Valley","   57132","     58316.11","E07000124"
"E07000125","Rossendale","   67982","     13804.82","E07000125"
"E07000126","South Ribble","  109057","     11295.57","E07000126"
"E07000127","West Lancashire","  110685","     34678.96","E07000127"
"E07000128","Wyre","  107749","     28255.43","E07000128"
"E07000129","Blaby","   93915","     13046.66","E07000129"
"E07000130","Charnwood","  166100","     27905.68","E07000130"
"E07000131","Harborough","   85382","     59177.75","E07000131"
"E07000132","Hinckley and Bosworth","  105078","     29734.91","E07000132"
"E07000133","Melton","   50376","     48137.68","E07000133"
"E07000134","North West Leicestershire","   93468","     27932.85","E07000134"
"E07000148","Norwich","  132512","      3902.60","E07000148"
"E07000149","South Norfolk","  124012","     90770.68","E07000149"
"E07000154","Northampton","  212069","      8076.17","E07000154"
"E07000155","South Northamptonshire","   85189","     63401.85","E07000155"
"E07000150","Corby","   61255","      8028.28","E07000150"
"E07000151","Daventry","   77843","     66259.01","E07000151"
"E07000152","East Northamptonshire","   86765","     50978.80","E07000152"
"E07000153","Kettering","   93475","     23349.24","E07000153"
"E07000156","Wellingborough","   75356","     16303.94","E07000156"
"E07000163","Craven","   55409","    117738.81","E07000163"
"E07000164","Hambleton","   89140","    131116.95","E07000164"
"E07000165","Harrogate","  157869","    130793.68","E07000165"
"E07000166","Richmondshire","   51965","    131867.12","E07000166"
"E07000167","Ryedale","   51751","    150659.41","E07000167"
"E07000168","Scarborough","  108793","     81654.13","E07000168"
"E07000169","Selby","   83449","     59931.19","E07000169"
"E07000170","Ashfield","  119497","     10955.69","E07000170"
"E07000171","Bassetlaw","  112863","     63787.08","E07000171"
"E07000172","Broxtowe","  109487","      8009.84","E07000172"
"E07000173","Gedling","  113543","     11997.63","E07000173"
"E09000030","Tower Hamlets","  254096","      1976.90","E09000030"
"E07000174","Mansfield","  104466","      7671.65","E07000174"
"E07000175","Newark and Sherwood","  114817","     65131.85","E07000175"
"E07000176","Rushcliffe","  111129","     40923.64","E07000176"
"E07000177","Cherwell","  141868","     58876.86","E07000177"
"E07000178","Oxford","  151906","      4559.58","E07000178"
"E07000179","South Oxfordshire","  134257","     67853.37","E07000179"
"E07000180","Vale of White Horse","  120988","     57761.77","E07000180"
"E07000181","West Oxfordshire","  104779","     71439.93","E07000181"
"E07000187","Mendip","  109279","     73943.51","E07000187"
"E07000188","Sedgemoor","  114588","     56436.28","E07000188"
"E07000189","South Somerset","  161243","     95904.23","E07000189"
"E07000190","Taunton Deane","  110187","     46236.29","E07000190"
"E07000191","West Somerset","   34675","     72534.51","E07000191"
"E07000192","Cannock Chase","   97462","      7888.09","E07000192"
"E07000193","East Staffordshire","  113583","     38696.29","E07000193"
"E07000194","Lichfield","  100654","     33129.71","E07000194"
"E07000195","Newcastle-under-Lyme","  123871","     21095.75","E07000195"
"E07000196","South Staffordshire","  108131","     40731.52","E07000196"
"E07000197","Stafford","  130869","     59817.26","E07000197"
"E07000198","Staffordshire Moorlands","   97106","     57584.71","E07000198"
"E07000199","Tamworth","   76813","      3084.62","E07000199"
"E07000200","Babergh","   87740","     59377.66","E07000200"
"E07000201","Forest Heath","   59748","     37771.06","E07000201"
"E07000202","Ipswich","  133384","      3941.46","E07000202"
"E07000203","Mid Suffolk","   96731","     87107.11","E07000203"
"E07000204","St Edmundsbury","  111008","     65696.41","E07000204"
"E07000205","Suffolk Coastal","  124298","     89156.43","E07000205"
"E07000206","Waveney","  115254","     36968.26","E07000206"
"E07000212","Runnymede","   80510","      7804.32","E07000212"
"E07000207","Elmbridge","  130875","      9506.07","E07000207"
"E07000208","Epsom and Ewell","   75102","      3407.29","E07000208"
"E07000209","Guildford","  137183","     27093.26","E07000209"
"E07000210","Mole Valley","   85375","     25832.26","E07000210"
"E07000224","Arun","  149518","     22070.82","E07000224"
